date,home_team_long_name,away_team_long_name
12/09/2017,Manchester United,FC Basel
12/09/2017,SL Benfica,CSKA Moskou
12/09/2017,Celtic,Paris Saint-Germain
12/09/2017,FC Bayern Munich,RSC Anderlecht
12/09/2017,Roma,Atlético Madrid
12/09/2017,Chelsea,FK Qarabag
12/09/2017,Olympiakos Piraeus,Sporting CP
12/09/2017,FC Barcelona,Juventus
13/09/2017,Liverpool,Sevilla FC
13/09/2017,NK Maribor,Spartak Moskou
13/09/2017,Shakhtar Donetsk,Napoli
13/09/2017,Feyenoord,Manchester City
13/09/2017,FC Porto,Besiktas
13/09/2017,RB Leipzig,AS Monaco
13/09/2017,Tottenham Hotspur,Borussia Dortmund
13/09/2017,Real Madrid CF,APOEL Nicosia
01/01/2018,FC Basel,Manchester United
01/01/2018,CSKA Moskou,SL Benfica
01/01/2018,Paris Saint-Germain,Celtic
01/01/2018,RSC Anderlecht,FC Bayern Munich
01/01/2018,Atlético Madrid,Roma
01/01/2018,FK Qarabag,Chelsea
01/01/2018,Sporting CP,Olympiakos Piraeus
01/01/2018,Juventus,FC Barcelona
01/01/2018,Sevilla FC,Liverpool
01/01/2018,Spartak Moskou,NK Maribor
01/01/2018,Napoli,Shakhtar Donetsk
01/01/2018,Manchester City,Feyenoord
01/01/2018,Besiktas,FC Porto
01/01/2018,AS Monaco,RB Leipzig
01/01/2018,Borussia Dortmund,Tottenham Hotspur
01/01/2018,APOEL Nicosia,Real Madrid CF
01/01/2018,FC Basel,SL Benfica
01/01/2018,CSKA Moskou,Manchester United
01/01/2018,Paris Saint-Germain,FC Bayern Munich
01/01/2018,RSC Anderlecht,Celtic
01/01/2018,Atlético Madrid,Chelsea
01/01/2018,FK Qarabag,Roma
01/01/2018,Sporting CP,FC Barcelona
01/01/2018,Juventus,Olympiakos Piraeus
01/01/2018,Sevilla FC,NK Maribor
01/01/2018,Spartak Moskou,Liverpool
01/01/2018,Napoli,Feyenoord
01/01/2018,Manchester City,Shakhtar Donetsk
01/01/2018,Besiktas,RB Leipzig
01/01/2018,AS Monaco,FC Porto
01/01/2018,Borussia Dortmund,Real Madrid CF
01/01/2018,APOEL Nicosia,Tottenham Hotspur
01/01/2018,SL Benfica,FC Basel
01/01/2018,Manchester United,CSKA Moskou
01/01/2018,FC Bayern Munich,Paris Saint-Germain
01/01/2018,Celtic,RSC Anderlecht
01/01/2018,Chelsea,Atlético Madrid
01/01/2018,Roma,FK Qarabag
01/01/2018,FC Barcelona,Sporting CP
01/01/2018,Olympiakos Piraeus,Juventus
01/01/2018,NK Maribor,Sevilla FC
01/01/2018,Liverpool,Spartak Moskou
01/01/2018,Feyenoord,Napoli
01/01/2018,Shakhtar Donetsk,Manchester City
01/01/2018,RB Leipzig,Besiktas
01/01/2018,FC Porto,AS Monaco
01/01/2018,Real Madrid CF,Borussia Dortmund
01/01/2018,Tottenham Hotspur,APOEL Nicosia
01/01/2018,SL Benfica,Manchester United
01/01/2018,FC Basel,CSKA Moskou
01/01/2018,FC Bayern Munich,Celtic
01/01/2018,Paris Saint-Germain,RSC Anderlecht
01/01/2018,Chelsea,Roma
01/01/2018,Atlético Madrid,FK Qarabag
01/01/2018,FC Barcelona,Olympiakos Piraeus
01/01/2018,Sporting CP,Juventus
01/01/2018,NK Maribor,Liverpool
01/01/2018,Sevilla FC,Spartak Moskou
01/01/2018,Feyenoord,Shakhtar Donetsk
01/01/2018,Napoli,Manchester City
01/01/2018,RB Leipzig,FC Porto
01/01/2018,Besiktas,AS Monaco
01/01/2018,Real Madrid CF,Tottenham Hotspur
01/01/2018,Borussia Dortmund,APOEL Nicosia
01/01/2018,Manchester United,SL Benfica
01/01/2018,CSKA Moskou,FC Basel
01/01/2018,Celtic,FC Bayern Munich
01/01/2018,RSC Anderlecht,Paris Saint-Germain
01/01/2018,Roma,Chelsea
01/01/2018,FK Qarabag,Atlético Madrid
01/01/2018,Olympiakos Piraeus,FC Barcelona
01/01/2018,Juventus,Sporting CP
01/01/2018,Liverpool,NK Maribor
01/01/2018,Spartak Moskou,Sevilla FC
01/01/2018,Shakhtar Donetsk,Feyenoord
01/01/2018,Manchester City,Napoli
01/01/2018,FC Porto,RB Leipzig
01/01/2018,AS Monaco,Besiktas
01/01/2018,Tottenham Hotspur,Real Madrid CF
01/01/2018,APOEL Nicosia,Borussia Dortmund
